Id de evento;Tipo;Fecha Evento;Fecha Final de Evento;Título evento;Descripcion y Resumen Evento;Categorias;Subcategorias;Doble/Multiple Afectacion;Resolucion 1612;Resolucion 1820;Descripcion de la fuente;Divipola Dpto;Departmento;Divipola Municipio;Municipio;Numero de afectados;Genero;Familia;Ocupacion;Etnia;Grupo poblacional;Edad;Estado;Condicion;Departamento receptor;Municipio receptor;Numero de personas recibidas;Fecha de fuente;Tipo de fuente;Nombre de fuente;Fuente;Fecha de corte
3212;Violencia;2024-01-03T00:00:00;;Un soldado muerto y 12 heridos en ataque del Clan del Golfo en Turbo, Antioquia;.Antioquia-Turbo-miércoles 3 enero 2024;Acciones armadas;Emboscada;No;No;No;Un ataque con explosivos contra una unidad militar de la Décima Séptima Brigada que se movilizaba en la vereda Los Enamorados de Turbo dejó un soldado muerto y otros 12 uniformados heridos en la madrugada de este miércoles, 3 de enero, en el Urabá antioqueño, según denunció el Ejército Nacional. ;5;Antioquia;5837;Turbo;1;Masculino;;Combatiente;Sin información-Sin información;Población en general;Mayor de 18 años;Muerto;Militar;;;;03/01/2024;Prensa;El Tiempo;https://www.eltiempo.com/colombia/medellin/antioquia-ataque-explosivo-dejo-un-soldado-muerto-y-12-uniformados-heridos-en-uraba-841096;2025-02-12T09:00:08.6299882Z
3212;Violencia;2024-01-03T00:00:00;;Un soldado muerto y 12 heridos en ataque del Clan del Golfo en Turbo, Antioquia;.Antioquia-Turbo-miércoles 3 enero 2024;Acciones armadas;Emboscada;No;No;No;Un ataque con explosivos contra una unidad militar de la Décima Séptima Brigada que se movilizaba en la vereda Los Enamorados de Turbo dejó un soldado muerto y otros 12 uniformados heridos en la madrugada de este miércoles, 3 de enero, en el Urabá antioqueño, según denunció el Ejército Nacional. ;5;Antioquia;5837;Turbo;12;Masculino;;Combatiente;Sin información-Sin información;Población en general;Mayor de 18 años;Herido;Militar;;;;03/01/2024;Prensa;El Tiempo;https://www.eltiempo.com/colombia/medellin/antioquia-ataque-explosivo-dejo-un-soldado-muerto-y-12-uniformados-heridos-en-uraba-841096;2025-02-12T09:00:08.6301085Z
3213;Violencia;2024-01-01T00:00:00;;Asesinan a migrante venezolana en Medellín;.Antioquia-Medellín-lunes 1 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;Si;Una mujer de 29 años, fue asesinada de varias puñaladas, al parecer, a manos de su pareja sentimental en medio de una riña registrada en su apartamento en el barrio Santo Domingo Savio, comuna de El Popular de Medellín.;5;Antioquia;5001;Medellín;1;Femenino;;Desconocida;Sin información-Sin información;Extranjero - Refugiado y Migrante (Venezolano);Mayor de 18 años;Muerto;Civil;;;;02/01/2024;Prensa;Alerta Paisa;https://www.alertapaisa.com/noticias/valle-de-aburra/una-mujer-venezolana-primera-victima-de-femicidio-de-este-ano-en-medellin;2025-02-12T09:00:08.6302116Z
3223;Violencia;2024-01-01T00:00:00;;Asesinan a un hombre en Copacabana, Antioquia;.Antioquia-Copacabana-lunes 1 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Según los reportes, un amigo del joven llegó a su casa para recoger unos zapatos y le informó sobre un altercado con unos sujetos en las inmediaciones. Al intentar intervenir para defender a su amigo, el joven de 25 años recibió cinco disparos y murió. ;5;Antioquia;5212;Copacabana;1;Masculino;;Desconocida;Sin información-Sin información;Población en general;Mayor de 18 años;Muerto;Civil;;;;02/01/2024;Sociedad Civil;Analisisurbano.org;https://analisisurbano.org/lo-mataron-por-defender-a-su-amigo-en-copacabana-antioquia/317101/;2025-02-12T09:00:08.6303194Z
3224;Violencia;2024-01-01T00:00:00;;Asesinan a un hombre en Girardota, Antioquia;.Antioquia-Girardota-lunes 1 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;El homicidio ocurrió en El Totumo, específicamente en el sector conocido como El Basurero. Según los informes preliminares, el hombre de 33 años fue atacado y recibió dos impactos de bala, su cuerpo fue encontrado tendido en la calle y rápidamente trasladado a un centro médico, donde lamentablemente falleció debido a las heridas.;5;Antioquia;5308;Girardota;1;Masculino;;Desconocida;Sin información-Sin información;Población en general;Mayor de 18 años;Muerto;Desconocido;;;;02/01/2024;Sociedad Civil;Analisisurbano.org;https://analisisurbano.org/a-oscar-javier-lo-mataron-a-bala-es-el-primer-homicidio-de-este-ano-en-girardota-antioquia/317106/;2025-02-12T09:00:08.6304252Z
3228;Violencia;2024-01-02T00:00:00;;Joven asesinado en la comuna 13 de Medellín;.Antioquia-Medellín-martes 2 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Un hombre fue asesinado de varios disparos en plena vía pública del barrio Corazón de la comuna 13 de Medellín, occidente de Medellín. ;5;Antioquia;5001;Medellín;1;Masculino;;Desconocida;Sin información-Sin información;Población en general;Mayor de 18 años;Muerto;Civil;;;;03/01/2024;Prensa;Alerta Paisa;https://www.alertapaisa.com/noticias/valle-de-aburra/un-joven-fue-asesinado-en-el-barrio-corazon-de-la-comuna-13-de-medellin;2025-02-12T09:00:08.6305301Z
3266;Violencia;2024-01-02T00:00:00;;El Tambo: joven campesino herido tras ataque armado;.Cauca-El Tambo-martes 2 enero 2024;Ataques contra la población civil;Atentado;No;No;No;"El hecho violento, de acuerdo con las autoridades, se registró en el corregimiento de Uribe, zona rural del municipio de El Tambo, Cauca.

""El caso se confirmó cuando este ciudadano ingresó a la sala de urgencias del hospital local, a donde fue llevado por los familiares y amigo tras el ataque. De esta forma se conoció que dos sujetos, en motos, llegaron hasta el lugar donde la víctima departía para después dispararle"", agregaron las autoridades.";19;Cauca;19256;El Tambo;1;Masculino;;Campesino(a) / Agricultor(a);-;Población en general;Mayor de 18 años;Herido;Civil;;;;02/01/2024;Prensa;periodicovirtual.com;https://periodicovirtual.com/el-tambo-joven-campesino-herido-tras-ser-atacado-a-balazos/;2025-02-12T09:00:08.6306334Z
3267;Violencia;2024-01-02T00:00:00;;Asesinaron a otro firmante de paz en el sur del Cauca.;.Cauca-Sucre-martes 2 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;"El firmante de paz fue asesinado por hombres armados en el municipio de Sucre, al sur del Cauca. Las autoridades departamentales exigieron a la Fuerza Pública capturar a los responsables.

De acuerdo con el Instituto de Estudios para el Desarrollo y la Paz, Indepaz, la victima fue atacado con disparos en varias oportunidades.";19;Cauca;19785;Sucre;1;Masculino;;Persona en proceso de reincorporación (PPR);-;Población en general;Mayor de 18 años;Muerto;Civil;;;;02/01/2024;Radio;La W;https://www.wradio.com.co/2024/01/02/asesinaron-a-otro-firmante-de-paz-en-el-sur-del-cauca/;2025-02-12T09:00:08.630761Z
3274;Violencia;2024-01-03T00:00:00;;Comunidades repudian el asesinato de otro comunero en el Cauca;.Cauca-Corinto-miércoles 3 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;"En el norte del Cauca, un comunero indígena fue secuestrado y posteriormente asesinado por desconocidos. Las comunidades advirtieron que, en la zona, los actores armados están ejerciendo el control territorial.

La víctima de 44 años fue encontrado sin vida a un costado de la vía que comunica a Corinto con Caloto en el sector conocido como San Rafael.

El fallecido había llegado al territorio para compartir las fiestas de fin y comienzo de año con sus familiares. El cuerpo registraba varios impactos de bala.


El Consejo Regional Indígena del Cauca, Cric, denunció que el comunero fue abordado por hombres armados en la vereda Guabito del Resguardo López Adentro del municipio de Caloto, obligado a subir a una camioneta y llevado hacia un lugar desconocido.";19;Cauca;19212;Corinto;1;Masculino;;Lider(esa) Comunitario (a);Indígena-Desconocido;Población en general;Mayor de 18 años;Muerto;Civil;;;;03/01/2024;Radio;La W;https://www.wradio.com.co/2024/01/04/comunidades-repudian-el-asesinato-de-otro-comunero-en-el-cauca/;2025-02-12T09:00:08.6308683Z
3275;Violencia;2024-01-03T00:00:00;;Reportaron un homicidio en la zona rural de Bolívar, Cauca;.Cauca-Bolívar-miércoles 3 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;"ntegrantes de la Defensa Civil del municipio de Bolívar, al sur de Cauca, reportaron el asesinato de un hombre en zona rural de dicha población.

Los voluntarios afirmaron que recibieron una llamada de parte de la comunidad de la vereda Bajo Llano, en el corregimiento de El Morro, la cual está ubicada a unos 25 minutos del casco urbano.
El hombre respondía al nombre de Libardo Peregrino Gomez Daza de 36 años de edad, el cual al parecer fue atacado con arma de fuego.";19;Cauca;19100;Bolívar;1;Masculino;;Sin Información;-;Población en general;Mayor de 18 años;Muerto;Civil;;;;03/01/2024;Prensa;periodicovirtual.com;https://periodicovirtual.com/reportaron-un-homicidio-en-la-zona-rural-de-bolivar-cauca/;2025-02-12T09:00:08.6309722Z
3327;Violencia;2024-01-02T00:00:00;;Asesinaron a maestra que fue nombrada en un panfleto en Sabanagrande, Atlántico;.Atlántico-Sabanagrande-martes 2 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;"La maestra Jennifer Paola Barandica Carrillo fue asesinada en su casa del barrio San Juan Bosco, Sabanagrande, Atlántico, en la madrugada del 2 de enero de 2024. La víctima, recientemente mencionada en un panfleto atribuido a ""Los Costeños"", fue atacada por un hombre que la abordó en la puerta de su vivienda, disparándole en la cabeza. La Policía ha iniciado investigaciones relacionadas con el panfleto donde se le acusaba de colaborar con la banda ""Los Pepes"" en Sabanagrande. En el documento, le daban 24 horas junto con otras 15 personas para abandonar el municipio. A pesar de la conmoción expresada en redes sociales y la región, algunos allegados afirman que la profesora no tenía vínculos con los señalamientos. El asesinato, el primero en el Atlántico en 2024, alerta sobre el recrudecimiento de la violencia entre las bandas de Digno Palomino y alias Castor por el control de actividades ilegales en municipios cercanos a Barranquilla.

";8;Atlántico;8634;Sabanagrande;1;Femenino;;Maestro(a);-;;;Muerto;;;;;02/01/2024;Prensa;El Heraldo;https://www.elespectador.com/colombia/barranquilla/asesinaron-a-maestra-que-fue-nombrada-en-un-panfleto-en-sabanagrande-atlantico/;2025-02-12T09:00:08.6310777Z
3328;Violencia;2024-01-01T00:00:00;;Se presentaron dos homicidios en Soledad, Atlántico. Las víctimas Bertulio Armando Vargas Narváez  y su hijo Boris Armado Vargas Yepez.;.Atlántico-Soledad-lunes 1 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;"Se presentaron dos homicidios en Soledad, Atlántico, el primero de enero de 2024. Las víctimas Bertulio Armando Vargas Narváez, de 65 años, y su hijo Boris Armado Vargas Yepez, de 34, al parecer fueron asesinados tras ser mencionados anteriormente en un panfleto amenazante como despojadores de tierras. Sujetos en moto llegaron y, sin previo aviso, el parrillero desenfundó un arma de fuego, disparando contra las víctimas. Boris murió en el lugar, mientras que su padre fue llevado a la IPS Agrupasalud, donde falleció debido a la gravedad de las heridas. En el mismo ataque, Dairo Antonio Vega González resultó herido en una mano. La Policía Metropolitana de Barranquilla está investigando el incidente y vincula a las víctimas con presuntas actividades ilícitas y posible involucramiento de actors armados, señalando que Boris Armado Vargas Yepez había sido miembro de la Policía Nacional en el pasado.

";8;Atlántico;8758;Soledad;2;Masculino;;;-;;Mayor de 18 años;Muerto;;;;;01/01/2024;Prensa;El Heraldo;https://www.elheraldo.co/judicial/primer-caso-de-sicariato-de-2024-suma-muerte-de-padre-hijo-en-soledad-1059309;2025-02-12T09:00:08.6311809Z
3329;Violencia;2024-01-04T00:00:00;;Asesinan a lider social en Amagá, Antioquia;.Antioquia-Amalfi-jueves 4 enero 2024;Acciones armadas;Combates;No;No;No;Se trata del segundo líder social reportado como asesinado en el año 2024 en el país. Según información entregada por parte de Indepaz, el hombre llevaba tres días desaparecido y fue hallado muerto en el municipio de Amagá.;5;Antioquia;5250;El Bagre;1;Masculino;;Combatiente;Sin información-Sin información;Sin información;Mayor de 18 años;Muerto;Actor Armado no Estatal;;;;05/01/2024;Radio;Caracol;https://caracol.com.co/2024/01/05/asesinan-a-un-lider-social-del-suroeste-de-antioquia/;2025-02-12T09:00:08.6312856Z
3329;Violencia;2024-01-04T00:00:00;;Asesinan a lider social en Amagá, Antioquia;.Antioquia-Amalfi-jueves 4 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Se trata del segundo líder social reportado como asesinado en el año 2024 en el país. Según información entregada por parte de Indepaz, el hombre llevaba tres días desaparecido y fue hallado muerto en el municipio de Amagá.;5;Antioquia;5030;Amagá;1;Masculino;;Lider(esa) Social;Sin información-Sin información;Población en general;Mayor de 18 años;Muerto;Civil;;;;05/01/2024;Radio;Caracol;https://caracol.com.co/2024/01/05/asesinan-a-un-lider-social-del-suroeste-de-antioquia/;2025-02-12T09:00:08.6313903Z
3352;Violencia;2024-01-05T00:00:00;;Asesinan a lider social en Andes, Antioquia;.Antioquia-Andes-viernes 5 enero 2024;Ataques contra la población civil;Desaparición forzada;No;No;No;El segundo de los casos fue el de un hombre de 68 años, quien fue reportado como desaparecido desde el pasado 29 de diciembre. Las primeras informaciones indican que el cadáver fue recuperado por bomberos voluntarios en la vereda Orizaba, del municipio de Andes en avanzado estado de descomposición y con una herida causada con arma de fuego.;5;Antioquia;5034;Andes;1;Masculino;;Desconocida;Sin información-Sin información;Población en general;Mayor de 18 años;No aplica;Civil;;;;06/01/2024;Radio;Blu Radio;https://www.bluradio.com/regiones/antioquia/asesinan-a-un-segundo-lider-social-en-antioquia-en-menos-de-24-horas-rg10;2025-02-12T09:00:08.6314955Z
3352;Violencia;2024-01-05T00:00:00;;Asesinan a lider social en Andes, Antioquia;.Antioquia-Andes-viernes 5 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;El segundo de los casos fue el de un hombre de 68 años, quien fue reportado como desaparecido desde el pasado 29 de diciembre. Las primeras informaciones indican que el cadáver fue recuperado por bomberos voluntarios en la vereda Orizaba, del municipio de Andes en avanzado estado de descomposición y con una herida causada con arma de fuego.;5;Antioquia;5034;Andes;1;Masculino;;Lider(esa) Social;Sin información-Sin información;Población en general;Mayor de 18 años;Muerto;Civil;;;;06/01/2024;Radio;Blu Radio;https://www.bluradio.com/regiones/antioquia/asesinan-a-un-segundo-lider-social-en-antioquia-en-menos-de-24-horas-rg10;2025-02-12T09:00:08.6315982Z
3353;Violencia;2024-01-05T00:00:00;;Un grupo fuertemente armado hace presencia en la vereda El Diamante de Segovia, Antioquia;.Antioquia-Segovia-viernes 5 enero 2024;Acciones armadas;Incursión;No;No;No;En la zona conocida como El Diamante, municipio de Segovía, la fundación Sumapaz ha denunciado la presencia de un numeroso grupo de personas con armas largas. ;5;Antioquia;5736;Segovia;0;Desconocido;;No Aplica;-;Sin información;Sin información;No aplica;Sin información;;;;05/01/2024;Sociedad Civil;Sin información;"https://twitter.com/FunSumapazref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
";2025-02-12T09:00:08.6317022Z
3354;Violencia;2024-01-08T00:00:00;;Combates entre el Estado Mayor Central y la fuerza pública en Toledo, Antioquia;.Antioquia-Toledo-lunes 8 enero 2024;Acciones armadas;Combates;No;No;No;En combates entre el Ejército Nacional en el norte de Antioquia, tropas que se encontraban en desplazamiento hacia la vereda Taque, municipio de Toledo, localizado en la subregión norte del departamento de Antioquia, fueron atacadas al parecer por presuntos integrantes del grupo armado organizado residual 18 y 36.;5;Antioquia;5819;Toledo;1;Masculino;;Combatiente;Sin información-Sin información;Población en general;Mayor de 18 años;Muerto;Actor Armado no Estatal;;;;08/01/2024;Radio;Blu Radio;https://www.bluradio.com/regiones/antioquia/un-muerto-y-tres-heridos-dejo-combates-entre-el-ejercito-contra-grupo-armado-en-toledo-antioquia-rg10;2025-02-12T09:00:08.6318084Z
3354;Violencia;2024-01-08T00:00:00;;Combates entre el Estado Mayor Central y la fuerza pública en Toledo, Antioquia;.Antioquia-Toledo-lunes 8 enero 2024;Acciones armadas;Combates;No;No;No;En combates entre el Ejército Nacional en el norte de Antioquia, tropas que se encontraban en desplazamiento hacia la vereda Taque, municipio de Toledo, localizado en la subregión norte del departamento de Antioquia, fueron atacadas al parecer por presuntos integrantes del grupo armado organizado residual 18 y 36.;5;Antioquia;5819;Toledo;3;Masculino;;Combatiente;Sin información-Sin información;Población en general;Mayor de 18 años;Herido;Actor Armado no Estatal;;;;08/01/2024;Radio;Blu Radio;https://www.bluradio.com/regiones/antioquia/un-muerto-y-tres-heridos-dejo-combates-entre-el-ejercito-contra-grupo-armado-en-toledo-antioquia-rg10;2025-02-12T09:00:08.6319126Z
3356;Violencia;2024-01-07T00:00:00;;Miembros de las AGC incursionan en ;.Antioquia-Apartadó-domingo 7 enero 2024;Ataques contra la población civil;Amenazas (individuales/colectivas);No;No;No;"En la verda la Unión de Apartadó, Antioquia, paramilitares de las AGC reunen por la fuerza a los pobladores del casco urbano de la vereda. Allí varios mandos del grupo hicieron su presentación e impartieron directrices de comportamiento y normas de conducta a las comunidades. 
";5;Antioquia;5045;Apartadó;60;Desconocido;;No Aplica;Sin información-Sin información;Población en general;Desconocido;No aplica;Civil;;;;07/01/2024;Sociedad Civil;Comunidad de paz de San josé de Apartadó;https://twitter.com/i/flow/login?redirect_after_login=%2Fi%2Fflow%2Flogin;2025-02-12T09:00:08.6320163Z
3357;Violencia;2024-01-07T00:00:00;;Una mujer fue asesinada de 14 disparos en Girardota, Antioquia;.Antioquia-Girardota-domingo 7 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;En la mañana de este domingo, 7 de enero, fue asesinada una mujer mientras tanqueaba su camioneta en una estación de servicio, ubicada sobre la autopista norte vía al peaje Barbosa-Hatillo en jurisdicción del municipio de Girardota, al norte del Valle de Aburrá. Según la información que se conoce hasta el momento, sujetos le propinaron varios impactos con arma de fuego. ;5;Antioquia;5308;Girardota;1;Femenino;;Desconocida;Sin información-Sin información;Población en general;Mayor de 18 años;Muerto;Actor Armado no Estatal;;;;07/01/2024;Prensa;Alerta Paisa;https://www.alertapaisa.com/noticias/valle-de-aburra/mujer-es-asesinada-mientras-tanqueaba-su-vehiculo-en-girardota-antioquia;2025-02-12T09:00:08.6321247Z
3358;Violencia;2024-01-06T00:00:00;;Hayan cuerpo sin vida en el Río Medelllín;.Antioquia-Medellín-sábado 6 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Se conoció el hallazgo de un cuerpo sin vida en el río Medellín este sábado, 6 de enero. Según la información que se conoce hasta el momento, el cadáver estaba a la altura de la Terminal de Norte de la capital de Antioquia. ;5;Antioquia;5001;Medellín;1;Masculino;;Desconocida;Sin información-Sin información;Sin información;Sin información;Muerto;Sin información;;;;06/01/2024;Prensa;Alerta Paisa;https://www.alertapaisa.com/noticias/valle-de-aburra/hallan-cuerpo-en-el-rio-medellin-el-primero-en-lo-que-va-de-2024;2025-02-12T09:00:08.6322672Z
3360;Violencia;2024-01-03T00:00:00;;Un adulto mayor fue asesinado por un grupo de personas en Medellín;.Antioquia-Medellín-miércoles 3 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;El 4 de enero un hombre murió después de ingresar a un hospital al ser sometido a un linchamiento por parte de la comunidad. Los hechos se dieron el 3 de diciembre cuando se presentó una riña entre vecinos en el barrio La Esperanza en el Doce de Octubre.;5;Antioquia;5001;Medellín;1;Masculino;;Desconocida;Sin información-Sin información;Población en general;Mayor de 18 años;Muerto;Civil;;;;05/01/2024;Prensa;minuto30.com;https://www.minuto30.com/hombre-murio-tras-ser-linchado-por-la-comunidad-en-el-doce-de-octubre/1554209/;2025-02-12T09:00:08.6323797Z
3361;Violencia;2024-01-07T00:00:00;;Asesinan a migrante venezolano en el barrio Belen, Medellín;.Antioquia-Medellín-domingo 7 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;En la madrugada del 7 de enero, asesinaron a un joven de 22 años en vía publica de Belén. Según información preliminar luego de que saliera de un billar, se escucharon detonaciones de arma de fuego.;5;Antioquia;5001;Medellín;1;Masculino;;Desconocida;Sin información-Sin información;Extranjero - Refugiado y Migrante (Venezolano);Mayor de 18 años;Muerto;Sin información;;;;07/01/2024;Prensa;minuto30.com;https://www.minuto30.com/en-via-publica-de-belen-fue-asesinado-a-tiros-hombre-de-22-anos/1554885/;2025-02-12T09:00:08.6324827Z
3362;Violencia;2024-01-06T00:00:00;;Disparan contra vehículo dejando 2 personas heridas en Medellín;.Antioquia-Medellín-sábado 6 enero 2024;Ataques contra la población civil;Atentado;No;No;No; La noche de este sábado 6 de enero se registró un ataque armado en contra de un vehículo que se movilizaba por Pilarica, noroccidente de Medellín. Dos personas resultaron lesionadas. En el vehículo, que sería contratista de la Gobernación de Antioquia, iban tres ocupantes, dos hombres y una mujer.;5;Antioquia;5001;Medellín;2;Desconocido;;Sin Información;Sin información-Sin información;Población en general;Mayor de 18 años;Herido;Civil;;;;06/01/2024;Prensa;minuto30.com;https://www.minuto30.com/atacan-a-bala-vehiculo-por-pilarica-dos-heridos/1554724/;2025-02-12T09:00:08.6325877Z
3363;Violencia;2024-01-07T00:00:00;;Asesinan a un hombre en Itaguí, Antioquia;.Antioquia-Itagüí-domingo 7 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;"El tercer asesinato se dio en el sur del Valle de Aburrá; poco antes de las 9 de la mañana era atacado a bala un hombre de 45 Años. Esta persona habría llegado en una camioneta hasta el barrio El Porvenir de Itagüí y al bajarse del vehículo, y sin mediar palabra, fue atacado a bala por un hombre que huyó a pie.";5;Antioquia;5360;Itagüí;1;Masculino;;Desconocida;Sin información-Sin información;Población en general;Mayor de 18 años;Muerto;Civil;;;;07/01/2024;Prensa;minuto30.com;https://www.minuto30.com/tres-asesinatos-se-registraron-el-7-de-enero-en-el-area-metropolitana/1555232/;2025-02-12T09:00:08.6326917Z
3364;Violencia;2024-01-03T00:00:00;;Hombre quedó herido tras recibir un disparo en su cabeza en el barrio Trinidad, Medellín.;.Antioquia-Medellín-miércoles 3 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;En horas de la tarde del 3 de enero, un hombre recibió un disparo en el barrio Trinidad.El hombre recibió un disparo en la cabeza, cuando se desplazaba en el andén de la casa de la cultura Culturarte.;5;Antioquia;5001;Medellín;1;Masculino;;Desconocida;Sin información-Sin información;Población en general;Mayor de 18 años;Herido;Civil;;;;04/01/2024;Prensa;minuto30.com;https://www.minuto30.com/hombre-recibio-un-disparo-en-la-cabeza-barrio-trinidad/1553629/;2025-02-12T09:00:08.6327962Z
3365;Violencia;2024-01-06T00:00:00;;Asesinan a un hombre con arma de fuego en Amalfí, Antioquia;.Antioquia-Amalfi-sábado 6 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;Siendo las 00:05 en el Alto del Cristo, fue ultimado con arma de fuego este hombre, quien presenta heridas en diferentes partes del cuerpo. Móviles e indicados son materia de investigación.;5;Antioquia;5031;Amalfi;1;Masculino;;Desconocida;Sin información-Sin información;Población en general;Mayor de 18 años;Muerto;Civil;;;;07/01/2024;Entidad Pública;Gobernacíón;Informe diario de homicidios;2025-02-12T09:00:08.6329007Z
3366;Violencia;2024-01-05T00:00:00;;Asesinan a migrante venezolano en Cisneros, Antioquia;.Antioquia-Cisneros-viernes 5 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;"Municipio: Cisneros Edad: 40 años Sexo: Masculino Víctima: Héctor Enrique Sanabria Montenegro
A las 09:25 horas en zona urbana, barrio La Vega, fue hallado ultimado con arma de fuego un ciudadano de nacionalidad venezolana, de 40 años, quien presenta heridas en la espalda y cabeza. Al parecer se encontraban reunidas cuatro personas de género masculino, se presenta una discusión donde un sujeto dispara en varias ocasiones y huye hacia zona boscosa";5;Antioquia;5190;Cisneros;1;Masculino;;Desconocida;Sin información-Sin información;Extranjero - Refugiado y Migrante (Venezolano);Mayor de 18 años;Muerto;Civil;;;;06/01/2024;Entidad Pública;Gobernacíón;Informe diario de homicidios;2025-02-12T09:00:08.6330063Z
3367;Violencia;2024-01-06T00:00:00;;De varios tiros asesinan a joven en zona rural de Riohacha;.La Guajira-Riohacha-sábado 6 enero 2024;Ataques contra la población civil;Tortura;No;No;No;"El hallazgo del cuerpo sin vida del joven Omar Yesid Ibarra Saban, de 23 años de edad, la tarde del sábado 6 de enero, perturbó la tranquila de los pobladores de la localidad de Tigreras, en la zona rural de Riohacha.

El joven fue encontrado en zona enmontada a la entrada del pueblo, con impactos de bala en la cabeza y las manos, además, con quemaduras en el rostro y piernas. De manera aterradora, su cabeza reposaba sobre un costal, dejando a la comunidad sumida en el estupor y la indignación.

El hallazgo fue cuando residentes locales observaron la escena brutal al ingresar al pueblo, alertando de inmediato a las autoridades, quienes se desplazaron al sitio para iniciar las investigaciones pertinentes.

Ibarra Saban, originario del corregimiento de Tigreras, se desempeñaba como mototaxista, y era conocido en la comunidad por referencia de su familia y amigos, quienes se encuentran sorprendidos por la noticia y buscan respuestas ante este acto de violencia que alteró el orden público.

Las circunstancias que rodean este crimen aún no ha sido esclarecidas, por lo que la Policía y las autoridades locales trabajan arduamente para determinar quiénes podrían estar detrás de este asesinato y cuál podría ser el motivo de semejante violencia.

Vecinos del pueblo expresan su conmoción y temor ante la brutalidad del crimen, solicitando mayor presencia policial en la zona y exigiendo justicia para Omar Yesid Ibarra Saban. Mientras la investigación avanza, la comunidad de Tigreras enfrenta un duelo colectivo y espera respuestas sobre la identidad del perpetrador y los motivos detrás de este asesinato que ha dejado a todos conmocionados y horrorizados. 

Este se constituye en el cuarto caso con muertes violentas, que se presenta en el distrito de Riohacha, abanderando en el departamento los asesinatos en este 2024. ";44;La Guajira;44001;Riohacha;1;Masculino;;Transportador(a);-;;Mayor de 18 años;Muerto;;;;;06/01/2024;Prensa;La Guajira Hoy;https://laguajirahoy.com/judiciales/de-varios-tiros-asesinan-a-joven-en-zona-rural-de-riohacha.html;2025-02-12T09:00:08.6331106Z
3369;Violencia;2024-01-07T00:00:00;;Hallan cadáver baleado en el rostro y la espalda en la población de Perico, zona rural de Riohacha;.La Guajira-Riohacha-domingo 7 enero 2024;Ataques contra la población civil;Homicidio intencional en persona protegida;No;No;No;;44;La Guajira;44001;Riohacha;1;Masculino;;;-;;Mayor de 18 años;Muerto;;;;;;;;;2025-02-12T09:00:08.6332198Z
3370;Violencia;2024-01-08T00:00:00;;Masacre de tres personas en la cabecera de la Hormiga, Putumayo;.Putumayo-Valle Del Guamuez-lunes 8 enero 2024;Ataques contra la población civil;Atentado;No;No;No;"Dentro de un billar frente a la terminal 
de La Hormiga, se registró el homicidio de tres 
personas con arma de fuego. Mientras que 
una cuarta quedo herida. Al parecer las víctimas 
eran parte de la barra de un equipo de fútbol y habrían 
llegado a la ciudad desde Ecuador. ";86;Putumayo;86865;Valle Del Guamuez;1;Masculino;;Sin Información;Sin información-Sin información;Sin información;Mayor de 18 años;Herido;Sin información;;;;08/01/2024;Prensa;Prisma Visión Putumayo;"https://www.facebook.com/photo/?fbid=768480138650381&set=a.463081012523630
";2025-02-12T09:00:08.6333259Z
3370;Violencia;2024-01-08T00:00:00;;Masacre de tres personas en la cabecera de la Hormiga, Putumayo;.Putumayo-Valle Del Guamuez-lunes 8 enero 2024;Ataques contra la población civil;Masacre (homicidio colectivo);No;No;No;"Dentro de un billar frente a la terminal 
de La Hormiga, se registró el homicidio de tres 
personas con arma de fuego. Mientras que 
una cuarta quedo herida. Al parecer las víctimas 
eran parte de la barra de un equipo de fútbol y habrían 
llegado a la ciudad desde Ecuador. ";86;Putumayo;86865;Valle Del Guamuez;3;Masculino;;Desconocida;Sin información-Sin información;Sin información;Mayor de 18 años;Muerto;Sin información;;;;08/01/2024;Prensa;Prisma Visión Putumayo;"https://www.facebook.com/photo/?fbid=768480138650381&set=a.463081012523630
";2025-02-12T09:00:08.6334309Z
